169917,48266
277216,1997
16358,9428
78117,276
395834,33431
5443,1440
273153,49007
20148,16367
74997,16430
273153,11632
1913,1165
11208,858
39851,627
281957,6947
75780,11109
150540,11193
504608,15237
33431,1923
34099,217
210577,2841
12580,246
43028,27091
12604,634
13073,10564
171274,16433
15058,226
1375,442
61979,56903
47120,27066
13969,11137
363676,2567
400547,4676
22315,11560
205868,9479
395834,10367
400547,36799
24747,22881
572468,83144
44593,1018
5961,1126
120515,4507
14883,12271
44125,27091
235260,615
3132,2502
427900,363
38843,8981
924,637
43410,10651
12140,11633
75174,11866
44656,11807
227719,14337
376660,24363
49214,10858
445954,11636
496243,21115
1901,1597
15318,1923
10296,8923
9675,227
205587,421
74997,13542
9596,525
842,261
73567,25126
266856,20544
38051,9830
10103,2313
1791,27
21198,20352
37797,12924
44656,12242
179144,12281
5559,4253
504608,16433
45881,628
40876,40247
31093,11564
65496,38878
331482,9675
11662,2048
133805,16605
32298,27066
141733,15775
74643,57289
75780,1640
50124,41472
59700,13377
11099,10795
36630,4380
20125,19133
44593,829
18711,963
339877,34308
80346,949
11036,1246
264644,9509
16048,14883
27066,14883
44415,11674
14462,586
21776,949
10742,9437
31781,650
390051,842
26280,18165
222053,34099
47200,37636
1126,527
11662,605
357096,12612
23857,581
51828,11130
171274,44593
9393,821
205596,1966
48594,2044
13373,13007
74997,205
14247,10222
49519,1901
1640,638
68718,9391
445954,12580
467952,25350
377154,220029
16791,14128
12140,78
16232,10637
313369,5528
11169,891
12109,111
44125,18475
52538,28031
47336,275
432836,15859
357096,12877
225574,10145
15318,7857
228150,613
17110,604
15503,8272
17452,488
398181,10367
1552,421
188222,442
4251,4175
281957,15058
8849,769
400090,12877
483906,16133
181283,11109
18711,4281
26280,11171
59700,51052
16232,9291
10651,4836
27066,23601
20128,2056
154400,13373
86195,49342
26463,8871
858,80
11081,3432
375262,54582
866,470
33431,320
83144,9798
21634,4676
41472,15802
449176,25350
2517,616
57825,12808
38878,217
37265,23601
36799,26280
11193,6418
380874,17651
8740,2841
22954,16635
11841,10109
2517,1562
228150,34671
345887,42584
316029,71043
57685,11564
8849,859
24196,13855
28031,19935
200727,13073
163957,38051
10103,858
140300,10109
258480,2003
14846,891
9596,786
281957,28740
1280,638
14978,5723
449176,2003
75656,51363
1677,1165
5319,4251
10677,9762
15069,205
277216,12604
60405,6478
11662,11633
50270,4974
17452,10669
281957,13678
16430,11564
466272,41747
369972,15774
1997,425
370663,54582
21057,11130
377154,36799
27066,14653
28769,17979
334522,613
20912,507
12281,12271
40990,984
287947,39504
383526,182291
140300,9550
48594,9339
1371,70
266856,56766
78293,37636
258480,52538
6963,1901
438674,842
273153,19935
7220,1452
14462,12201
390051,10145
419743,42318
16791,10895
59444,13073
32868,32298
48594,77
171274,49214
10417,424
12109,1165
27069,1378
51363,2291
332562,14024
157336,17110
24747,10474
250643,15859
37645,4836
14292,9291
109689,56903
10367,2001
26579,281
14247,682
75780,45759
1213,594
11208,4369
20344,7862
16131,11236
53932,5443
284276,12483
339380,71043
9830,8545
16232,10474
16430,949
1280,713
38843,3875
14846,2253
186992,140
382748,16605
21200,521
11423,205
254473,25631
14247,7485
71676,17478
1246,70
2349,708
19180,8665
11193,775
400547,220029
13373,11004
41171,11881
20344,424
28468,1944
11658,2440
500919,11109
370663,47200
22881,16232
10947,9833
18711,750
81899,5552
357096,42584
14313,4974
47120,28468
21776,11027
6478,872
32528,967
39851,10474
464,439
13542,8834
14207,10303
21776,189
12201,1279
449176,11534
703,436
11099,745
503919,2299
16133,101
12703,979
25560,11162
12604,9813
133805,15058
206487,14337
14024,11887
68718,9688
14292,10474
21290,11899
121856,25631
16133,1538
22315,1645
169917,7548
16131,8587
44656,859
16791,11224
72051,2142
400547,40056
26463,10437
57289,10403
193893,80346
56766,1165
20912,8012
8846,284
14462,6415
396371,1913
40976,1280
10103,8390
25126,7516
31781,8882
11835,2502
395834,12543
52538,39781
163957,12429
291549,21115
21175,13971
10247,9391
39851,95
389015,14292
57174,6557
11534,1966
278927,21198
45110,28468
44415,12230
74997,24196
45759,984
25460,11027
401981,9509
21175,612
2299,439
449176,11184
46342,984
15058,13342
122906,9528
416477,1404
44656,1040
163957,49519
74997,15644
4836,4771
50838,13373
45759,1696
438799,20344
1677,525
228150,20344
370663,57825
9393,637
45132,25126
120515,843
1584,442
15927,4251
11588,8834
345887,40990
9339,924
140823,2567
326359,11193
370663,78293
44960,11128
12612,8090
13666,10361
11866,8358
14211,421
2349,502
11099,1562
34843,29592
342473,14114
281957,24685
12109,637
273153,9953
334543,14134
549053,41171
14092,12140
179144,48266
370663,19935
10054,1997
12543,96
637,464
2288,688
487558,20544
127642,49040
12583,11797
12583,7131
20357,949
258480,49007
1595,101
11423,1640
760,594
531428,2299
250657,9372
325189,27799
22705,5460
33660,9391
10742,320
120515,258
314365,140
34671,424
302156,41847
66153,39403
20125,4258
11859,10742
449176,20148
842,479
9528,111
40976,1628
13523,9688
20125,5060
13668,9692
1903,38
16995,13542
74997,615
449176,220029
4836,101
9813,9692
14883,1259
4251,1414
277216,401
20912,769
27066,844
10589,8848
57586,17452
1126,88
4251,513
17899,342
376866,1677
58857,12580
52512,616
205868,11395
177622,14978
44564,10740
26280,2003
460048,12249
120515,27066
28468,8846
398175,11109
228165,2319
15774,568
